monthly_income,food_monthly_budget,food_remaining,days_left,days_in_month,planned_food_per_day,food_remaining_per_day,tdee,training_frequency,budget_style,convenience_need,vegetarian_day,goal_fat_loss,goal_muscle_gain,goal_maintain,goal_healthy_eating,sleep_quality_score,injury_risk,time_pressure,stress_risk,budget_pressure,high_protein_preference,vegetarian_preference,action,policy_score,label
12000000,5398610.7,5125314.78,15,28,192807.53,341687.65,2120,5,emotional,0.2142,0,0,0,0,1,0.78,0,0.1514,0,0,0,1,sweet_treat,0.46,0
12000000,4781568.92,3644118.77,26,28,170770.32,140158.41,2120,3,balanced,0.8745,1,0,0,1,0,0.92,0,0.4887,0,0,0,0,home_high_protein,0.49,0
12000000,4781568.92,3644118.77,26,28,170770.32,140158.41,2120,3,balanced,0.8745,1,0,0,1,0,0.92,0,0.4887,0,0,0,0,eat_out_controlled,0.41,0
12000000,4781568.92,3644118.77,26,28,170770.32,140158.41,2120,3,balanced,0.8745,1,0,0,1,0,0.92,0,0.4887,0,0,0,0,meal_prep,0.71,1
12000000,4781568.92,3644118.77,26,28,170770.32,140158.41,2120,3,balanced,0.8745,1,0,0,1,0,0.92,0,0.4887,0,0,0,0,snack_recovery,0.71,1
12000000,4781568.92,3644118.77,26,28,170770.32,140158.41,2120,3,balanced,0.8745,1,0,0,1,0,0.92,0,0.4887,0,0,0,0,vegetarian_meal,0.69,1
12000000,4781568.92,3644118.77,26,28,170770.32,140158.41,2120,3,balanced,0.8745,1,0,0,1,0,0.92,0,0.4887,0,0,0,0,sweet_treat,0.03,0
12000000,3186897.22,2738294.26,23,31,102803.14,119056.27,1667,0,emotional,0.5029,0,1,0,0,1,0.92,1,0.8152,0,0,1,0,home_high_protein,0.98,1
12000000,3186897.22,2738294.26,23,31,102803.14,119056.27,1667,0,emotional,0.5029,0,1,0,0,1,0.92,1,0.8152,0,0,1,0,eat_out_controlled,0.49,0
12000000,3186897.22,2738294.26,23,31,102803.14,119056.27,1667,0,emotional,0.5029,0,1,0,0,1,0.92,1,0.8152,0,0,1,0,meal_prep,0.98,1
12000000,3186897.22,2738294.26,23,31,102803.14,119056.27,1667,0,emotional,0.5029,0,1,0,0,1,0.92,1,0.8152,0,0,1,0,snack_recovery,0.71,1
12000000,3186897.22,2738294.26,23,31,102803.14,119056.27,1667,0,emotional,0.5029,0,1,0,0,1,0.92,1,0.8152,0,0,1,0,vegetarian_meal,0.65,1
12000000,3186897.22,2738294.26,23,31,102803.14,119056.27,1667,0,emotional,0.5029,0,1,0,0,1,0.92,1,0.8152,0,0,1,0,sweet_treat,0.1,0
28000000,11056011.13,6372092.11,8,30,368533.7,796511.51,3089,0,strict,0.4583,0,0,1,1,1,0.5,0,0.1155,0,1,1,0,home_high_protein,0.98,1
28000000,11056011.13,6372092.11,8,30,368533.7,796511.51,3089,0,strict,0.4583,0,0,1,1,1,0.5,0,0.1155,0,1,1,0,eat_out_controlled,0.07,0
28000000,11056011.13,6372092.11,8,30,368533.7,796511.51,3089,0,strict,0.4583,0,0,1,1,1,0.5,0,0.1155,0,1,1,0,meal_prep,0.98,1
28000000,11056011.13,6372092.11,8,30,368533.7,796511.51,3089,0,strict,0.4583,0,0,1,1,1,0.5,0,0.1155,0,1,1,0,snack_recovery,0.55,0
28000000,11056011.13,6372092.11,8,30,368533.7,796511.51,3089,0,strict,0.4583,0,0,1,1,1,0.5,0,0.1155,0,1,1,0,vegetarian_meal,0.77,1
28000000,11056011.13,6372092.11,8,30,368533.7,796511.51,3089,0,strict,0.4583,0,0,1,1,1,0.5,0,0.1155,0,1,1,0,sweet_treat,0.02,0
5000000,1901794.81,1389205.13,18,30,63393.16,77178.06,2957,5,comfort,0.5054,0,0,1,0,0,0.15,1,0.7852,0,0,1,1,home_high_protein,0.97,1
5000000,1901794.81,1389205.13,18,30,63393.16,77178.06,2957,5,comfort,0.5054,0,0,1,0,0,0.15,1,0.7852,0,0,1,1,eat_out_controlled,0.52,0
5000000,1901794.81,1389205.13,18,30,63393.16,77178.06,2957,5,comfort,0.5054,0,0,1,0,0,0.15,1,0.7852,0,0,1,1,meal_prep,0.98,1
5000000,1901794.81,1389205.13,18,30,63393.16,77178.06,2957,5,comfort,0.5054,0,0,1,0,0,0.15,1,0.7852,0,0,1,1,snack_recovery,0.98,1
5000000,1901794.81,1389205.13,18,30,63393.16,77178.06,2957,5,comfort,0.5054,0,0,1,0,0,0.15,1,0.7852,0,0,1,1,vegetarian_meal,0.57,0
5000000,1901794.81,1389205.13,18,30,63393.16,77178.06,2957,5,comfort,0.5054,0,0,1,0,0,0.15,1,0.7852,0,0,1,1,sweet_treat,0.18,0
5000000,2317576.41,1440593.37,23,29,79916.43,62634.49,1811,0,comfort,0.3647,0,0,1,0,0,0.15,0,0.7201,1,0,1,0,home_high_protein,0.69,1
5000000,2317576.41,1440593.37,23,29,79916.43,62634.49,1811,0,comfort,0.3647,0,0,1,0,0,0.15,0,0.7201,1,0,1,0,eat_out_controlled,0.3,0
5000000,2317576.41,1440593.37,23,29,79916.43,62634.49,1811,0,comfort,0.3647,0,0,1,0,0,0.15,0,0.7201,1,0,1,0,meal_prep,0.98,1
5000000,2317576.41,1440593.37,23,29,79916.43,62634.49,1811,0,comfort,0.3647,0,0,1,0,0,0.15,0,0.7201,1,0,1,0,snack_recovery,0.98,1
5000000,2317576.41,1440593.37,23,29,79916.43,62634.49,1811,0,comfort,0.3647,0,0,1,0,0,0.15,0,0.7201,1,0,1,0,vegetarian_meal,0.21,0
5000000,2317576.41,1440593.37,23,29,79916.43,62634.49,1811,0,comfort,0.3647,0,0,1,0,0,0.15,0,0.7201,1,0,1,0,sweet_treat,0.02,0
9000000,3732443.54,1923090.38,14,29,128704.95,137363.6,2513,1,balanced,0.8166,0,1,0,0,1,0.25,0,0.1517,0,0,1,0,home_high_protein,0.95,1
9000000,3732443.54,1923090.38,14,29,128704.95,137363.6,2513,1,balanced,0.8166,0,1,0,0,1,0.25,0,0.1517,0,0,1,0,eat_out_controlled,0.45,0
9000000,3732443.54,1923090.38,14,29,128704.95,137363.6,2513,1,balanced,0.8166,0,1,0,0,1,0.25,0,0.1517,0,0,1,0,meal_prep,0.98,1
9000000,3732443.54,1923090.38,14,29,128704.95,137363.6,2513,1,balanced,0.8166,0,1,0,0,1,0.25,0,0.1517,0,0,1,0,snack_recovery,0.83,1
9000000,3732443.54,1923090.38,14,29,128704.95,137363.6,2513,1,balanced,0.8166,0,1,0,0,1,0.25,0,0.1517,0,0,1,0,vegetarian_meal,0.73,1
9000000,3732443.54,1923090.38,14,29,128704.95,137363.6,2513,1,balanced,0.8166,0,1,0,0,1,0.25,0,0.1517,0,0,1,0,sweet_treat,0.02,0
9000000,4155940.28,3068616.62,4,30,138531.34,767154.16,2439,2,comfort,0.4364,0,1,0,0,1,0.78,1,0.5024,1,0,1,0,home_high_protein,0.98,1
9000000,4155940.28,3068616.62,4,30,138531.34,767154.16,2439,2,comfort,0.4364,0,1,0,0,1,0.78,1,0.5024,1,0,1,0,eat_out_controlled,0.28,0
9000000,4155940.28,3068616.62,4,30,138531.34,767154.16,2439,2,comfort,0.4364,0,1,0,0,1,0.78,1,0.5024,1,0,1,0,meal_prep,0.98,1
9000000,4155940.28,3068616.62,4,30,138531.34,767154.16,2439,2,comfort,0.4364,0,1,0,0,1,0.78,1,0.5024,1,0,1,0,snack_recovery,0.78,1
9000000,4155940.28,3068616.62,4,30,138531.34,767154.16,2439,2,comfort,0.4364,0,1,0,0,1,0.78,1,0.5024,1,0,1,0,vegetarian_meal,0.73,1
9000000,4155940.28,3068616.62,4,30,138531.34,767154.16,2439,2,comfort,0.4364,0,1,0,0,1,0.78,1,0.5024,1,0,1,0,sweet_treat,0.06,0
9000000,3411146.19,1737370.36,4,30,113704.87,434342.59,2685,1,balanced,0.4204,0,0,0,0,1,0.92,0,0.1577,0,0,0,0,home_high_protein,0.73,1
9000000,3411146.19,1737370.36,4,30,113704.87,434342.59,2685,1,balanced,0.4204,0,0,0,0,1,0.92,0,0.1577,0,0,0,0,eat_out_controlled,0.57,0
9000000,3411146.19,1737370.36,4,30,113704.87,434342.59,2685,1,balanced,0.4204,0,0,0,0,1,0.92,0,0.1577,0,0,0,0,meal_prep,0.73,1
9000000,3411146.19,1737370.36,4,30,113704.87,434342.59,2685,1,balanced,0.4204,0,0,0,0,1,0.92,0,0.1577,0,0,0,0,snack_recovery,0.57,0
9000000,3411146.19,1737370.36,4,30,113704.87,434342.59,2685,1,balanced,0.4204,0,0,0,0,1,0.92,0,0.1577,0,0,0,0,vegetarian_meal,0.73,1
9000000,3411146.19,1737370.36,4,30,113704.87,434342.59,2685,1,balanced,0.4204,0,0,0,0,1,0.92,0,0.1577,0,0,0,0,sweet_treat,0.23,0
45000000,20265941.15,11792221.6,26,29,698825.56,453546.98,1741,6,balanced,0.6728,0,1,1,0,1,0.15,0,0.6679,0,0,1,0,home_high_protein,0.95,1
45000000,20265941.15,11792221.6,26,29,698825.56,453546.98,1741,6,balanced,0.6728,0,1,1,0,1,0.15,0,0.6679,0,0,1,0,eat_out_controlled,0.02,0
45000000,20265941.15,11792221.6,26,29,698825.56,453546.98,1741,6,balanced,0.6728,0,1,1,0,1,0.15,0,0.6679,0,0,1,0,meal_prep,0.98,1
45000000,20265941.15,11792221.6,26,29,698825.56,453546.98,1741,6,balanced,0.6728,0,1,1,0,1,0.15,0,0.6679,0,0,1,0,snack_recovery,0.61,0
45000000,20265941.15,11792221.6,26,29,698825.56,453546.98,1741,6,balanced,0.6728,0,1,1,0,1,0.15,0,0.6679,0,0,1,0,vegetarian_meal,0.35,0
45000000,20265941.15,11792221.6,26,29,698825.56,453546.98,1741,6,balanced,0.6728,0,1,1,0,1,0.15,0,0.6679,0,0,1,0,sweet_treat,0.02,0
5000000,2067630.61,696360.84,8,29,71297.61,87045.11,1798,3,balanced,0.8014,0,0,0,0,1,0.92,0,0.203,0,0,0,0,home_high_protein,0.77,1
5000000,2067630.61,696360.84,8,29,71297.61,87045.11,1798,3,balanced,0.8014,0,0,0,0,1,0.92,0,0.203,0,0,0,0,eat_out_controlled,0.71,1
5000000,2067630.61,696360.84,8,29,71297.61,87045.11,1798,3,balanced,0.8014,0,0,0,0,1,0.92,0,0.203,0,0,0,0,meal_prep,0.98,1
5000000,2067630.61,696360.84,8,29,71297.61,87045.11,1798,3,balanced,0.8014,0,0,0,0,1,0.92,0,0.203,0,0,0,0,snack_recovery,0.83,1
5000000,2067630.61,696360.84,8,29,71297.61,87045.11,1798,3,balanced,0.8014,0,0,0,0,1,0.92,0,0.203,0,0,0,0,vegetarian_meal,0.65,1
5000000,2067630.61,696360.84,8,29,71297.61,87045.11,1798,3,balanced,0.8014,0,0,0,0,1,0.92,0,0.203,0,0,0,0,sweet_treat,0.15,0
7000000,1836654.64,1098094.22,3,30,61221.82,366031.41,1862,5,balanced,0.0642,0,0,0,1,1,0.92,0,0.0336,0,0,0,0,home_high_protein,0.93,1
7000000,1836654.64,1098094.22,3,30,61221.82,366031.41,1862,5,balanced,0.0642,0,0,0,1,1,0.92,0,0.0336,0,0,0,0,eat_out_controlled,0.53,0
7000000,1836654.64,1098094.22,3,30,61221.82,366031.41,1862,5,balanced,0.0642,0,0,0,1,1,0.92,0,0.0336,0,0,0,0,meal_prep,0.93,1
7000000,1836654.64,1098094.22,3,30,61221.82,366031.41,1862,5,balanced,0.0642,0,0,0,1,1,0.92,0,0.0336,0,0,0,0,snack_recovery,0.65,1
7000000,1836654.64,1098094.22,3,30,61221.82,366031.41,1862,5,balanced,0.0642,0,0,0,1,1,0.92,0,0.0336,0,0,0,0,vegetarian_meal,0.69,1
7000000,1836654.64,1098094.22,3,30,61221.82,366031.41,1862,5,balanced,0.0642,0,0,0,1,1,0.92,0,0.0336,0,0,0,0,sweet_treat,0.19,0
45000000,13756787.32,8419814.1,24,29,474371.98,350825.59,2919,5,emotional,0.7242,0,0,0,0,1,0.92,0,0.1453,1,0,1,0,home_high_protein,0.69,1
45000000,13756787.32,8419814.1,24,29,474371.98,350825.59,2919,5,emotional,0.7242,0,0,0,0,1,0.92,0,0.1453,1,0,1,0,eat_out_controlled,0.35,0
45000000,13756787.32,8419814.1,24,29,474371.98,350825.59,2919,5,emotional,0.7242,0,0,0,0,1,0.92,0,0.1453,1,0,1,0,meal_prep,0.98,1
45000000,13756787.32,8419814.1,24,29,474371.98,350825.59,2919,5,emotional,0.7242,0,0,0,0,1,0.92,0,0.1453,1,0,1,0,snack_recovery,0.91,1
45000000,13756787.32,8419814.1,24,29,474371.98,350825.59,2919,5,emotional,0.7242,0,0,0,0,1,0.92,0,0.1453,1,0,1,0,vegetarian_meal,0.35,0
45000000,13756787.32,8419814.1,24,29,474371.98,350825.59,2919,5,emotional,0.7242,0,0,0,0,1,0.92,0,0.1453,1,0,1,0,sweet_treat,0.02,0
45000000,19975139.81,5913870.47,9,31,644359.35,657096.72,2266,1,strict,0.7812,0,0,0,1,1,0.25,0,0.5819,0,1,0,0,home_high_protein,0.65,1
45000000,19975139.81,5913870.47,9,31,644359.35,657096.72,2266,1,strict,0.7812,0,0,0,1,1,0.25,0,0.5819,0,1,0,0,eat_out_controlled,0.17,0
45000000,19975139.81,5913870.47,9,31,644359.35,657096.72,2266,1,strict,0.7812,0,0,0,1,1,0.25,0,0.5819,0,1,0,0,meal_prep,0.98,1
45000000,19975139.81,5913870.47,9,31,644359.35,657096.72,2266,1,strict,0.7812,0,0,0,1,1,0.25,0,0.5819,0,1,0,0,snack_recovery,0.33,0
45000000,19975139.81,5913870.47,9,31,644359.35,657096.72,2266,1,strict,0.7812,0,0,0,1,1,0.25,0,0.5819,0,1,0,0,vegetarian_meal,0.65,1
45000000,19975139.81,5913870.47,9,31,644359.35,657096.72,2266,1,strict,0.7812,0,0,0,1,1,0.25,0,0.5819,0,1,0,0,sweet_treat,0.02,0
45000000,19160565.85,15599081.67,31,30,638685.53,503196.18,1758,5,comfort,0.8503,0,1,0,0,1,0.78,0,0.625,0,0,1,0,home_high_protein,0.95,1
45000000,19160565.85,15599081.67,31,30,638685.53,503196.18,1758,5,comfort,0.8503,0,1,0,0,1,0.78,0,0.625,0,0,1,0,eat_out_controlled,0.2,0
45000000,19160565.85,15599081.67,31,30,638685.53,503196.18,1758,5,comfort,0.8503,0,1,0,0,1,0.78,0,0.625,0,0,1,0,meal_prep,0.98,1
45000000,19160565.85,15599081.67,31,30,638685.53,503196.18,1758,5,comfort,0.8503,0,1,0,0,1,0.78,0,0.625,0,0,1,0,snack_recovery,0.72,1
45000000,19160565.85,15599081.67,31,30,638685.53,503196.18,1758,5,comfort,0.8503,0,1,0,0,1,0.78,0,0.625,0,0,1,0,vegetarian_meal,0.61,0
45000000,19160565.85,15599081.67,31,30,638685.53,503196.18,1758,5,comfort,0.8503,0,1,0,0,1,0.78,0,0.625,0,0,1,0,sweet_treat,0.02,0
45000000,14306481.19,12506841.46,5,31,461499.39,2501368.29,2652,6,emotional,0.4649,0,0,1,1,0,0.5,0,0.2021,1,0,1,0,home_high_protein,0.97,1
45000000,14306481.19,12506841.46,5,31,461499.39,2501368.29,2652,6,emotional,0.4649,0,0,1,1,0,0.5,0,0.2021,1,0,1,0,eat_out_controlled,0.49,0
45000000,14306481.19,12506841.46,5,31,461499.39,2501368.29,2652,6,emotional,0.4649,0,0,1,1,0,0.5,0,0.2021,1,0,1,0,meal_prep,0.98,1
45000000,14306481.19,12506841.46,5,31,461499.39,2501368.29,2652,6,emotional,0.4649,0,0,1,1,0,0.5,0,0.2021,1,0,1,0,snack_recovery,0.98,1
45000000,14306481.19,12506841.46,5,31,461499.39,2501368.29,2652,6,emotional,0.4649,0,0,1,1,0,0.5,0,0.2021,1,0,1,0,vegetarian_meal,0.37,0
45000000,14306481.19,12506841.46,5,31,461499.39,2501368.29,2652,6,emotional,0.4649,0,0,1,1,0,0.5,0,0.2021,1,0,1,0,sweet_treat,0.32,0
7000000,2005132.43,1538596.63,9,30,66837.75,170955.18,2044,5,emotional,0.4886,0,0,0,0,1,0.15,0,0.2764,0,0,0,0,home_high_protein,0.73,1
7000000,2005132.43,1538596.63,9,30,66837.75,170955.18,2044,5,emotional,0.4886,0,0,0,0,1,0.15,0,0.2764,0,0,0,0,eat_out_controlled,0.57,0
7000000,2005132.43,1538596.63,9,30,66837.75,170955.18,2044,5,emotional,0.4886,0,0,0,0,1,0.15,0,0.2764,0,0,0,0,meal_prep,0.89,1
7000000,2005132.43,1538596.63,9,30,66837.75,170955.18,2044,5,emotional,0.4886,0,0,0,0,1,0.15,0,0.2764,0,0,0,0,snack_recovery,0.73,1
7000000,2005132.43,1538596.63,9,30,66837.75,170955.18,2044,5,emotional,0.4886,0,0,0,0,1,0.15,0,0.2764,0,0,0,0,vegetarian_meal,0.61,0
7000000,2005132.43,1538596.63,9,30,66837.75,170955.18,2044,5,emotional,0.4886,0,0,0,0,1,0.15,0,0.2764,0,0,0,0,sweet_treat,0.5,0
9000000,3517708.34,2179657.85,9,30,117256.94,242184.21,2647,6,balanced,0.1915,0,1,0,0,0,0.15,0,0.4067,1,1,1,1,home_high_protein,0.98,1
9000000,3517708.34,2179657.85,9,30,117256.94,242184.21,2647,6,balanced,0.1915,0,1,0,0,0,0.15,0,0.4067,1,1,1,1,eat_out_controlled,0.13,0
9000000,3517708.34,2179657.85,9,30,117256.94,242184.21,2647,6,balanced,0.1915,0,1,0,0,0,0.15,0,0.4067,1,1,1,1,meal_prep,0.98,1
9000000,3517708.34,2179657.85,9,30,117256.94,242184.21,2647,6,balanced,0.1915,0,1,0,0,0,0.15,0,0.4067,1,1,1,1,snack_recovery,0.63,1
9000000,3517708.34,2179657.85,9,30,117256.94,242184.21,2647,6,balanced,0.1915,0,1,0,0,0,0.15,0,0.4067,1,1,1,1,vegetarian_meal,0.98,1
9000000,3517708.34,2179657.85,9,30,117256.94,242184.21,2647,6,balanced,0.1915,0,1,0,0,0,0.15,0,0.4067,1,1,1,1,sweet_treat,0.02,0
9000000,3503026.96,2403435.39,5,31,113000.87,480687.08,2067,6,emotional,0.1141,1,0,0,0,1,0.92,0,0.1029,0,0,0,0,home_high_protein,0.81,1
9000000,3503026.96,2403435.39,5,31,113000.87,480687.08,2067,6,emotional,0.1141,1,0,0,0,1,0.92,0,0.1029,0,0,0,0,eat_out_controlled,0.53,0
9000000,3503026.96,2403435.39,5,31,113000.87,480687.08,2067,6,emotional,0.1141,1,0,0,0,1,0.92,0,0.1029,0,0,0,0,meal_prep,0.81,1
9000000,3503026.96,2403435.39,5,31,113000.87,480687.08,2067,6,emotional,0.1141,1,0,0,0,1,0.92,0,0.1029,0,0,0,0,snack_recovery,0.53,0
9000000,3503026.96,2403435.39,5,31,113000.87,480687.08,2067,6,emotional,0.1141,1,0,0,0,1,0.92,0,0.1029,0,0,0,0,vegetarian_meal,0.89,1
9000000,3503026.96,2403435.39,5,31,113000.87,480687.08,2067,6,emotional,0.1141,1,0,0,0,1,0.92,0,0.1029,0,0,0,0,sweet_treat,0.46,0
12000000,3230471.28,2542021.03,19,31,104208.75,133790.58,1975,5,balanced,0.2646,0,1,0,0,1,0.92,0,0.0998,1,0,1,0,home_high_protein,0.98,1
12000000,3230471.28,2542021.03,19,31,104208.75,133790.58,1975,5,balanced,0.2646,0,1,0,0,1,0.92,0,0.0998,1,0,1,0,eat_out_controlled,0.27,0
12000000,3230471.28,2542021.03,19,31,104208.75,133790.58,1975,5,balanced,0.2646,0,1,0,0,1,0.92,0,0.0998,1,0,1,0,meal_prep,0.98,1
12000000,3230471.28,2542021.03,19,31,104208.75,133790.58,1975,5,balanced,0.2646,0,1,0,0,1,0.92,0,0.0998,1,0,1,0,snack_recovery,0.77,1
12000000,3230471.28,2542021.03,19,31,104208.75,133790.58,1975,5,balanced,0.2646,0,1,0,0,1,0.92,0,0.0998,1,0,1,0,vegetarian_meal,0.77,1
12000000,3230471.28,2542021.03,19,31,104208.75,133790.58,1975,5,balanced,0.2646,0,1,0,0,1,0.92,0,0.0998,1,0,1,0,sweet_treat,0.02,0
45000000,16538283.1,12113047.17,22,29,570285.62,550593.05,1841,0,strict,0.1659,0,0,0,0,1,0.5,0,0.846,1,1,0,1,home_high_protein,0.61,0
45000000,16538283.1,12113047.17,22,29,570285.62,550593.05,1841,0,strict,0.1659,0,0,0,0,1,0.5,0,0.846,1,1,0,1,eat_out_controlled,0.13,0
